,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo,Country,State,RankPercentage,Ancient Ruins,Architectural Buildings,Arenas & Stadiums,Art Galleries,Art Museums,Auto Race Tracks,Ballets,Battlefields,Biking Trails,Bodies of Water,Bridges,Castles,Cemeteries,Children's Museums,City Tours,Classes & Workshops,Coffeehouses,Concerts & Shows,Cultural Tours,Educational sites,Factory Tours,Flea & Street Markets,Food & Drink,Fun & Games,Gardens,Geologic Formations,Gift & Specialty Shops,Government Buildings,Historic Sites,Historic Walking Areas,Historical & Heritage Tours,History Museums,Islands,Lessons & Workshops,Libraries,Lighthouses,"Literary, Art & Music Tours",Lookouts,Military Bases & Facilities,Military Museums,Mines,Monuments & Statues,Movie Theaters,Museums,National Parks,Natural History Museums,Nature & Parks,Nature & Wildlife Areas,Neighborhoods,Night Tours,Nightlife,Observation Decks & Towers,Observatories & Planetariums,Other Fun & Games,Other Outdoor Activities,Outdoor Activities,Piers & Boardwalks,Playgrounds,Points of Interest & Landmarks,Private Tours,Sacred & Religious Sites,Scenic Railroads,Scenic Walking Areas,Science Museums,Self-Guided Tours & Rentals,Ships,Shopping,Sights & Landmarks,Specialty Museums,Sports Complexes,State Parks,Theaters,Tours,Tramways,Transportation,Traveler Resources,Valleys,Visitor Centers,Volcanos,Walking Tours,Wineries & Vineyards,Zipline & Aerial Adventure Parks,Zoos & Aquariums,on display,gift shop,rainy day,couple of hours,all ages,special exhibits,few hours,two hours,exhibits,well worth a visit,permanent collection,worth a visit,free admission,audio guide,beautiful building,great collection,information,interesting exhibits,entrance fee,great for kids,interactive exhibits,hands on activities,great exhibits,great place to visit,interactive displays,guided tour,well worth the visit,whole family,kids and adults,traveling exhibits,his life,local history,amazing collection,free entry,worth the trip,great history,civil war,take your time,nice collection,interesting place,great museum,for sale,art lovers,artifacts,van gogh,audio tour,history,galleries,works of art,natural history,self guided tour,private collection,own pace,sculpture garden,moving experience,three hours,lots of history,modern art,history buff,admission,small museum,step back in time,worth a stop,short film,stuffed animals,walk around,entry fee,great displays,world war,scavenger hunt,across the street,museums,top floor,a lot of fun,history lesson,large collection,eye opening,american history,interesting artifacts,early days,rotating exhibits,extensive collection,three floors,we spent hours,displays,changing exhibits,second floor,collection,old masters,great place to learn,learn something,special exhibitions,suggested donation,old west,chronological order,enjoyed our visit,take pictures,third floor,the lower level,life size,Families_Count,Couples_Count,Solo_Count,Business_Count,Friends_Count,PreciseRating,quote_pol_var,quote_pol_mean,quote_pol_max,quote_pol_min,quote_sub_var,quote_sub_mean,quote_sub_max,quote_sub_min,review_pol_var,review_pol_mean,review_pol_max,review_pol_min,review_sub_var,review_sub_mean,review_sub_max,review_sub_min,descri_pol,descri_sub
0,"555 Pennsylvania Ave NW, Washington DC, DC 20001-2114","Find out for yourself why everyone is calling the Newseum the best experience Washington, D.C. has to offer. Each of the seven levels in this magnificent building is packed with interactive exhibits that explore free expression and the five freedoms of the First Amendment: religion, speech, press, assembly and petition. Whether you have just a few hours or want to spend all day, you'll find something for everyone in the family in the Newseum's 15 theaters and 15 galleries.",3,Yes ,-77.0192351,38.8931385,2-3 hours ,Newseum,+1 888-639-7386,8,4.5,6309,398,USA,DC,2.010050251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,1524,425,363,871,4.7005998,0.128876756,0.339545455,1,0,0.135220018,0.475151515,1,0,0.023759849,0.33467698,0.611111111,0,0.014520784,0.509036305,0.754861111,0.342857143,0.49,0.506666667
4,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",12,Yes ,-73.9629278,40.7791655,2-3 hours ,The Metropolitan Museum of Art,1 212-535-7710,2,5,36627,1028,USA,IL,0.194552529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5072,6264,2131,638,3782,4.792827547,0.055193092,0.222821068,0.7,0,0.091187417,0.38354818,0.9,0,0.018057068,0.318339319,0.634375,0.127083333,0.018279734,0.537971107,0.7,0.291666667,0.318181818,0.477272727
5,"945 Magazine Street, New Orleans, LA 70130-3813","Founded by historian and author, Stephen Ambrose, the Museum tells the story of the American Experience in the war that changed the world - why it was fought, how it was won, and what it means today - so that all generations will understand the price of freedom and be inspired by what they learn. ",11,,-90.070086,29.9430044,,The National WWII Museum,+1 504-528-1944,1,5,15611,319,USA,NY,0.313479624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2970,6224,822,774,2419,4.763922037,0.125072222,0.28530303,1,-0.1,0.120107071,0.352121212,1,0,0.010221602,0.33349349,0.5,0.140782828,0.019100183,0.508204611,0.804861111,0.333333333,0,0
6,"2001 N Colorado Blvd, Denver, CO 80205-5798","The Denver Museum of Nature & Science is the Rocky Mountain regions leading resource for informal science education. A variety of exhibitions, programs, and activities help Museum visitors experience the natural wonders of Colorado, Earth, and the universe.",0,,-104.94102,39.7691894,,Denver Museum of Nature & Science,303-370-6000,4,4.5,2564,231,USA,MA,1.731601732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,467,137,74,291,4.597904915,0.111490691,0.425888889,1,0,0.120250444,0.506333333,1,0,0.02262527,0.429964089,0.664285714,0.192261905,0.014844919,0.584561014,0.783333333,0.438095238,0.1,0.4
7,"111 S Michigan Ave, Chicago, IL 60603-6488","This Classical Renaissance structure, guarded by two bronze lions at its entrance, boasts one of the world's great art collections, including the trademark ""American Gothic.""",5,Yes ,-87.6237238,41.8795473,More than 3 hours ,Art Institute of Chicago,312 443 3600,1,5,15532,614,USA,IL,0.16286645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2759,4064,1421,829,2452,4.804930893,0.14528508,0.399277778,1,-0.15,0.109114131,0.416126984,1,0,0.030203269,0.299116932,0.681333333,0.125,0.02538009,0.53072806,0.788333333,0.266666667,0.3,0.3375
8,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. ",5,No ,-74.0124786,40.7114147,1-2 hours ,The National 9/11 Memorial & Museum,+1 212-312-8800,3,4.5,48437,1028,USA,DC,0.291828794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8913,11298,1688,652,5866,4.761871946,0.127489486,0.313846801,1,0,0.148984248,0.518235129,1,0,0.02197311,0.233406085,0.50625,0,0.017795983,0.508243146,0.683333333,0.2,0,0
9,"465 Huntington Ave, Avenue of the Arts, Boston, MA 02115-5597","Boston's oldest, largest and best-known art institution, the MFA houses one of the world's most comprehensive art collections and is renowned for its Impressionist paintings, Asian and Egyptian collections and early American art.",4,Yes ,-71.0850239,42.3428415,2-3 hours ,Museum of Fine Arts,617-267-9300,2,4.5,5480,371,USA,DC,0.539083558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,209,49,14,118,4.458699473,0.134871043,0.410480769,1,0,0.158765101,0.386378205,1,0,0.017935033,0.308986718,0.55,0.139722222,0.011327591,0.524394851,0.666666667,0.3,0.15,0.2
14,"1400 S Lake Shore Dr, Chicago, IL 60605-2827","One of America's premier natural history museums, the Field's ""Live over Time"" exhibit now houses ""Sue,"" the largest and most complete Tyrannosaurus rex ever discovered.",4,Yes ,-87.6169862,41.8661733,More than 3 hours ,The Field Museum,312 922 9410,9,4.5,5500,614,USA,IA,1.465798046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,1217,277,158,597,4.463506711,0.057425948,0.205912698,0.6,-0.05,0.087324603,0.370952381,0.9,0,0.025614111,0.422576209,0.716666667,0.2325,0.012670597,0.587527958,0.866666667,0.472619048,0.209090909,0.45
19,"10th Street and Constitution Ave, Washington DC, DC 20560","Established in 1910 and located on the National Mall, this prestigious museum, part of the Smithsonian Institution, holds the world's most extensive collection of natural history specimens and human artifacts including the remains of dinosaurs and tools used by early man.",7,No ,-77.0259613,38.8921037,2-3 hours ,Smithsonian National Museum of Natural History,202 633-1000,12,4.5,7640,398,USA,CA,3.015075377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558,1439,401,222,666,4.523474178,0.124623494,0.307313131,1,-0.3,0.084999963,0.448164141,1,0,0.02808166,0.452977994,0.666666667,0.175396825,0.019031102,0.621915584,0.8,0.344444444,0.14,0.326666667
24,"6th and Independence Ave., SW, Washington DC, DC 20560",The most popular of the Smithsonian museums features the Wright Brothers' 1903 Flyer and Lindbergh's Spirit of St. Louis.,10,No ,-77.0199048,38.8875682,2-3 hours ,Smithsonian National Air and Space Museum,2026331000,3,4.5,14492,398,USA,TN,0.753768844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4199,2767,737,419,1171,4.5926433,0.055289527,0.229507937,0.8,-0.038333333,0.094768603,0.399095238,0.9,0,0.028005038,0.318275559,0.7,0.095535714,0.026943519,0.562151876,0.95,0.386666667,0.55,0.7
